共通,,
都道府県,式場名,
北海道,アールベルアンジェ札幌,
北海道,ANAクラウンプラザホテル札幌,
北海道,エルム ガーデン,
北海道,グローヴウィズアクアスタイル（GLOVE WITH AQUA STYLE）,
北海道,京王プラザホテル札幌,
北海道,札幌パークホテル,
北海道,札幌グランドホテル,
北海道,the Terrace（ザ テラス）,
北海道,ジャルダン・ドゥ・ボヌール,
北海道,JRタワーホテル日航札幌,
北海道,センティール・ラ・セゾン中島公園,
北海道,センティール・ラ・セゾン 函館山,
北海道,チャペル・ド・コフレ札幌,
北海道,THE NIDOM RESORT WEDDING（ニドムリゾートウエディング）,
北海道,ヒルサイドクラブ迎賓館(札幌) ,
北海道,ピエトラ・セレーナ（Pietra Serena）,
北海道,FINCH of AMAZING DINER（フィンチ オブ アメージングダイナー）,
北海道,ブランシュメゾン,
北海道,ブルーミントンヒル,
北海道,プレミアホテル 中島公園 札幌,
北海道,ベルクラシック旭川,
北海道,ホテルモントレエーデルホフ札幌,
北海道,ホテルモントレ札幌,
北海道,星野リゾート トマム 水の教会（ホシノリゾート トマム ミズノキョウカイ）,
北海道,ホテル札幌ガーデンパレス,
北海道,北海道神宮,
北海道,宮の森フランセス教会,
北海道,藻岩シャローム教会,
北海道,森のスパリゾート 北海道ホテル,
北海道,RiN SQUARE（リン スクエア）,
北海道,レストランMINAMI,
北海道,ローズガーデンクライスト教会,
東京,アーカンジェル代官山,
東京,アーフェリーク白金,
東京,Harmonie agreable （旧名：マノワール・ディノ）（アーモニーアグレアーブル）,
東京,アヴァンセ リアン 東京（AVANCER LIEN TOKYO）,
東京,青山迎賓館,
東京,青山フェアリーハウス,
東京,赤坂アプローズスクエア迎賓館,
東京,赤坂氷川神社,
東京,赤坂プリンス クラシックハウス,
東京,浅草ビューホテル,
東京,麻布グレイスゴスペル教会 セントメアリー記念礼拝堂,
東京,麻布迎賓館,
東京,アニヴェルセル 表参道,
東京,アニヴェルセル 立川,
東京,Anniversary.An EBISU（アニバーサリー アン 恵比寿）,
東京,アプローズスクエア 東京迎賓館（アプローズスクエアトウキョウゲイヒンカン）,
東京,アフロディテ,
東京,アルカンシエル南青山,
東京,アルジェント,
東京,アルマリアン TOKYO（ALMALIEN TOKYO）,
東京,アルモニーソルーナ 表参道,
東京,アンジェパティオ,
東京,アンジェリオン オ プラザ TOKYO（Angelion au plaza TOKYO）,
東京,Angelo Court Tokyo（アンジェロコート東京）,
東京,アンジェロコート東京 （旧名：リュド・ヴィンテージ目白）,
東京,アンティカ・オステリア・デル・ポンテ,
東京,アンフェリシオン,
東京,IWAI OMOTESANDO(イワイ オモテサンドウ),
東京,ウェスティンホテル東京,
東京,ヴィクトリアガーデン恵比寿迎賓館,
東京,ヴィラ・デ・マリアージュ多摩南大沢,
